m_ticker,ticker,comp_name,exchange,currency_code,Date,rating_cnt_strong_buys,rating_cnt_mod_buys,rating_cnt_holds,rating_cnt_mod_sells,rating_cnt_strong_sells,rating_mean_recom,rating_cnt_with,rating_cnt_without
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-17,15,5,7,0,2,1.9,29,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-18,15,5,7,0,2,1.9,29,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-19,15,4,7,0,2,1.9,28,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-22,15,4,8,0,2,2,29,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-23,16,3,8,0,2,1.9,29,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-25,16,3,7,0,2,1.9,28,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-29,15,3,7,0,2,1.9,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-01-31,14,3,8,0,1,1.9,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-02-01,12,3,9,0,1,2,25,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-02-02,12,2,12,0,1,2.1,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-02-05,12,1,12,0,1,2.1,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-02-16,12,1,13,0,1,2.1,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-03-26,12,0,13,0,1,2.2,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-04-02,11,0,13,0,1,2.2,25,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-04-11,12,0,13,0,1,2.2,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-04-30,12,0,12,0,1,2.1,25,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-05-01,12,0,13,0,1,2.2,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-05-02,13,0,13,0,1,2.1,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-05-30,12,0,14,0,1,2.2,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-06-13,12,0,13,0,1,2.2,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-07-04,12,0,13,0,0,2,25,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-08-01,12,1,13,0,0,2,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-08-03,10,1,13,0,0,2.1,24,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-09-12,11,1,13,0,0,2.1,25,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-09-27,12,1,13,0,0,2,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-10-15,12,1,12,0,0,2,25,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-10-18,13,1,12,0,0,2,26,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-10-29,14,1,12,0,0,1.9,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-11-02,13,1,13,0,0,2,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-11-14,13,1,14,0,0,2,28,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-12-20,13,1,13,0,0,2,27,0
AAPL,AAPL,Apple,NASDAQ,USD,2018-12-21,13,1,14,0,0,2,28,0
